"Titre court";"Titre complet";"Numéro de l'amendement";"Partie de l'amendement";"Sort de l'amendement";"Désignation de l'article";"Délibération";"Auteur";"Cosignataire(s)";"Instance";"Etape du texte";"URL Dossier législatif";"URL Texte référence";"URL Amendement";"URL Amendement format XML"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 254 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF254";"";"Non renseigné";"Avant l'article 9";"Première délibération";"Lefèvre Mathieu";"  Mme Bergé, M. Amiel, M. Cazenave, M. Da Silva, M. Dirx, Mme Dupont, Mme Errante, M. Giraud, Mme Hai, M. Holroyd, M. Labaronne, M. Lacresse, M. Lauzzana, Mme Le Grip, M. Margueritte, M. Masséglia, M. Mournet, M. Reda, M. Riester, M. Roseren, M. Sitzenstuhl, M. Abad, Mme Abadie, M. Damien Adam, Mme Agresti-Roubache, M. Alauzet, M. Anglade, M. Ardouin, M. Armand, M. Attal, M. Bataillon, M. Batut, M. Beaune, M. Becht, M. Belhaddad, M. Belhamiti, M. Berville, M. Bordat, Mme Borne, M. Bothorel, M. Boudié, M. Bouyx, Mme Pascale Boyer, Mme Bregeon, M. Brosse, Mme Brugnera, Mme Brulebois, M. Buchou, Mme Buffet, Mme Calvez, Mme Caroit, M. Causse, M. Pierre Cazeneuve, Mme Chandler, M. Chenevard, Mme Clapot, Mme Colboc, M. Cormier-Bouligeon, Mme Couillard, Mme Cristol, M. Darmanin, Mme Decodts, Mme Delpech, M. Descrozaille, Mme Dubré-Chirat, M. Dunoyer, M. Dussopt, M. Fait, Mme Dominique Faure, M. Ferracci, M. Fiévet, M. Fugit, M. Gassilloud, Mme Genetet, M. Ghomi, M. Éric Girardin, Mme Givernet, M. Gouffier-Cha, Mme Grandjean, M. Grelier, Mme Grégoire, M. Guerini, Mme Guévenoux, M. Raphaël Gérard, M. Haddad, M. Haury, M. Henriet, M. Houlié, Mme Iborra, M. Izard, M. Jacques, Mme Janvier, M. Kasbarian, Mme Khattabi, Mme Klinkert, Mme Lakrafi, M. Lavergne, Mme Le Feur, M. Le Gac, M. Le Gendre, Mme Le Meur, Mme Le Nabour, Mme Le Peih, M. Le Vigoureux, Mme Lebec, M. Lescure, Mme Liso, M. Lovisolo, M. Maillard, Mme Maillart-Méhaignerie, Mme Jacqueline Maquet, M. Marchive, M. Marion, Mme Marsaud, M. Didier Martin, M. Mazars, Mme Melchior, M. Mendes, M. Metzdorf, Mme Meynier-Millefert, M. Midy, Mme Mirallès, Mme Métayer, M. Olive, M. Pacquot, Mme Panonacle, Mme Panosyan-Bouvet, M. Didier Paris, Mme Parmentier-Lecocq, M. Pellerin, M. Perrot, Mme Petel, Mme Peyron, Mme Piron, Mme Pitollat, Mme Pompili, M. Pont, M. Poulliat, Mme Pouzyreff, M. Rebeyrotte, Mme Rilhac, Mme Riotton, Mme Rist, Mme Rixain, M. Rodwell, M. Rousset, M. Royer-Perreaut, M. Rudigoz, Mme Saint-Paul, M. Seo, M. Sorre, Mme Spillebout, M. Studer, Mme Liliana Tanguy, Mme Tanzilli, M. Terlier, Mme Thevenot, Mme Tiegna, M. Travert, M. Valence, Mme Vidal, M. Vignal, Mme Vignon, M. Vojetta, M. Vuibert, M. Vuilletet, M. Véran, M. Woerth et M. Zulesi";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_9";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF254";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000254.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 21 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF21";"";"Non renseigné";"Après l'article 2";"Première délibération";"Louwagie Véronique";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_2";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF21";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000021.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 32 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF32";"";"Non renseigné";"Article PREMIER";"Première délibération";"Louwagie Véronique";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF32";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000032.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 102 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF102";"";"Non renseigné";"Article PREMIER";"Première délibération";"de Courson Charles";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF102";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000102.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 160 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF160";"";"Non renseigné";"Après l'article 15";"Première délibération";"Boyer Pascale";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_15";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF160";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000160.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 3 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"AC3";"";"Non renseigné";"Article PREMIER";"Première délibération";"Legrain Sarah";"  Mme Abomangoli, M. Alexandre, M. Amard, Mme Amiot, Mme Amrani, M. Arenas, Mme Autain, M. Bernalicis, M. Bex, M. Bilongo, M. Bompard, M. Boumertit, M. Boyard, M. Caron, M. Carrière, M. Chauche, Mme Chikirou, M. Clouet, M. Coquerel, M. Corbière, M. Coulomme, Mme Couturier, M. Davi, M. Delogu, Mme Dufour, Mme Erodi, Mme Etienne, M. Fernandes, Mme Ferrer, Mme Fiat, M. Gaillard, Mme Garrido, Mme Guetté, M. Guiraud, Mme Hignet, Mme Keke, M. Kerbrat, M. Lachaud, M. Laisney, M. Le Gall, Mme Leboucher, Mme Leduc, M. Legavre, Mme Lepvraud, M. Léaument, Mme Pascale Martin, Mme Élisa Martin, M. Martinet, M. Mathieu, M. Maudet, Mme Maximi, Mme Manon Meunier, M. Nilor, Mme Obono, Mme Oziol, Mme Panot, M. Piquemal, M. Portes, M. Prud'homme, M. Quatennens, M. Ratenon, M. Rome, M. Ruffin, M. Saintoul, M. Sala, Mme Simonnet, Mme Soudais, Mme Stambach-Terrenoir, Mme Taurine, Mme Taurinya, M. Tavel, Mme Trouvé, M. Vannier et M. Walter";"Affaires culturelles et éducation";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION-CEDU/AC3";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO419604B0017P0D1N000003.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 169 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF169";"";"Non renseigné";"Après l'article 2";"Première délibération";"Sala Michel";"  Mme Abomangoli, M. Alexandre, M. Amard, Mme Amiot, Mme Amrani, M. Arenas, Mme Autain, M. Bernalicis, M. Bex, M. Bilongo, M. Bompard, M. Boumertit, M. Boyard, M. Caron, M. Carrière, M. Chauche, Mme Chikirou, M. Clouet, M. Coquerel, M. Corbière, M. Coulomme, Mme Couturier, M. Davi, M. Delogu, Mme Dufour, Mme Erodi, Mme Etienne, M. Fernandes, Mme Ferrer, Mme Fiat, M. Gaillard, Mme Garrido, Mme Guetté, M. Guiraud, Mme Hignet, Mme Keke, M. Kerbrat, M. Lachaud, M. Laisney, M. Le Gall, Mme Leboucher, Mme Leduc, M. Legavre, Mme Legrain, Mme Lepvraud, M. Léaument, Mme Pascale Martin, Mme Élisa Martin, M. Martinet, M. Mathieu, M. Maudet, Mme Maximi, Mme Manon Meunier, M. Nilor, Mme Obono, Mme Oziol, Mme Panot, M. Piquemal, M. Portes, M. Prud'homme, M. Quatennens, M. Ratenon, M. Rome, M. Ruffin, M. Saintoul, Mme Simonnet, Mme Soudais, Mme Stambach-Terrenoir, Mme Taurine, Mme Taurinya, M. Tavel, Mme Trouvé, M. Vannier et M. Walter";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_2";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF169";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000169.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 54 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF54";"";"Non renseigné";"Après l'article 10";"Première délibération";"de Courson Charles";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_10";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF54";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000054.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 208 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF208";"";"Non renseigné";"Avant l'article 9";"Première délibération";"Sas Eva";"  Mme Arrighi et M. Ben Cheikh";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_9";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF208";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000208.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 122 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF122";"";"Non renseigné";"Après l'article 10";"Première délibération";"Louwagie Véronique";"  M. Nury, M. Jean-Pierre Vigier, M. Bazin, Mme Bazin-Malgras, M. Neuder, M. Viry, M. Minot, M. Gosselin, Mme Bonnivard, Mme Anthoine, Mme Corneloup et M. Hetzel";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_10";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF122";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000122.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 62 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF62";"";"Non renseigné";"Après l'article 10";"Première délibération";"Magnier Lise";"  Mme Rauch, M. Christophe, M. Lamirault et M. Favennec-Bécot ";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_10";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF62";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000062.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 45 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF45";"";"Non renseigné";"Après l'article 3";"Première délibération";"de Courson Charles";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_3";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF45";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000045.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 171 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF171";"";"Non renseigné";"Avant l'article 9";"Première délibération";"Dufour Alma";"  Mme Abomangoli, M. Alexandre, M. Amard, Mme Amiot, Mme Amrani, M. Arenas, Mme Autain, M. Bernalicis, M. Bex, M. Bilongo, M. Bompard, M. Boumertit, M. Boyard, M. Caron, M. Carrière, M. Chauche, Mme Chikirou, M. Clouet, M. Coquerel, M. Corbière, M. Coulomme, Mme Couturier, M. Davi, M. Delogu, Mme Erodi, Mme Etienne, M. Fernandes, Mme Ferrer, Mme Fiat, M. Gaillard, Mme Garrido, Mme Guetté, M. Guiraud, Mme Hignet, Mme Keke, M. Kerbrat, M. Lachaud, M. Laisney, M. Le Gall, Mme Leboucher, Mme Leduc, M. Legavre, Mme Legrain, Mme Lepvraud, M. Léaument, Mme Pascale Martin, Mme Élisa Martin, M. Martinet, M. Mathieu, M. Maudet, Mme Maximi, Mme Manon Meunier, M. Nilor, Mme Obono, Mme Oziol, Mme Panot, M. Piquemal, M. Portes, M. Prud'homme, M. Quatennens, M. Ratenon, M. Rome, M. Ruffin, M. Saintoul, M. Sala, Mme Simonnet, Mme Soudais, Mme Stambach-Terrenoir, Mme Taurine, Mme Taurinya, M. Tavel, Mme Trouvé, M. Vannier et M. Walter";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_9";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF171";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000171.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 5 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF5";"";"Non renseigné";"Avant l'article PREMIER";"Première délibération";"Cinieri Dino";"  M. Kamardine, M. Brigand, Mme Anthoine, M. Fabrice Brun, Mme Corneloup, M. Cordier, M. Descoeur, M. Hetzel, Mme Alexandra Martin, M. Neuder, Mme Valentin, M. Jean-Pierre Vigier et M. Viry";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF5";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000005.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 55 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF55";"";"Non renseigné";"Avant l'article PREMIER";"Première délibération";"Bonnivard Émilie";"  M. Hetzel, M. Neuder, Mme Corneloup, Mme Valentin, M. Minot, M. Jean-Pierre Vigier, Mme Serre, M. Bony, M. Bourgeaux, Mme Bazin-Malgras, Mme Louwagie, M. Viry, Mme Anthoine, M. Cordier et M. Cinieri";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF55";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000055.xml"
