"Titre court";"Titre complet";"Numéro de l'amendement";"Partie de l'amendement";"Sort de l'amendement";"Désignation de l'article";"Délibération";"Auteur";"Cosignataire(s)";"Instance";"Etape du texte";"URL Dossier législatif";"URL Texte référence";"URL Amendement";"URL Amendement format XML"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 252 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF252";"";"Adopté";"Avant l'article PREMIER";"Première délibération";"Marcangeli Laurent";"  Mme Magnier, Mme Félicie Gérard, M. Jolivet, M. Plassard, M. Albertini, M. Alfandari, Mme Bellamy, M. Benoit, M. Christophe, M. Favennec-Bécot , M. Gernigon, M. Kervran, Mme Kochert, M. Lamirault, M. Larsonneur, Mme Le Hénanff, M. Lemaire, M. Mesnier, Mme Moutchou, M. Patrier-Leitus, M. Portarrieu, Mme Poussier-Winsback, M. Pradal, Mme Rauch, M. Thiébaut, M. Valletoux, M. Villiers, Mme Violland et les membres du groupe Horizons et apparentés";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF252";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000252.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 35 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF35";"";"Rejeté";"Avant l'article PREMIER";"Première délibération";"Louwagie Véronique";"  M. Viry, M. Marleix, Mme Anthoine, M. Bazin, Mme Bazin-Malgras, Mme Blin, Mme Bonnivard, M. Bony, M. Boucard, M. Bourgeaux, M. Breton, M. Brigand, M. Fabrice Brun, M. Cinieri, M. Ciotti, M. Cordier, Mme Corneloup, Mme D'Intorni, Mme Dalloz, M. Descoeur, M. Di Filippo, M. Dive, M. Dubois, Mme Duby-Muller, M. Pierre-Henri Dumont, M. Forissier, M. Gaultier, Mme Genevard, M. Gosselin, Mme Gruet, M. Habert-Dassault, M. Meyer Habib, M. Herbillon, M. Hetzel, M. Juvin, M. Kamardine, M. Emmanuel Maquet, Mme Alexandra Martin, Mme Frédérique Meunier, M. Minot, M. Neuder, M. Nury, M. Pauget, Mme Petex-Levet, M. Portier, M. Pradié, Mme Périgault, M. Ray, M. Rolland, M. Schellenberger, M. Seitlinger, Mme Serre, Mme Tabarot, M. Taite, M. Thiériot, Mme Valentin, M. Vatin, M. Vermorel-Marques et M. Jean-Pierre Vigier";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF35";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000035.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 206 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF206";"";"Non soutenu";"Avant l'article PREMIER";"Première délibération";"Le Fur Marc";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF206";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000206.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 100 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF100";"";"Non soutenu";"Avant l'article PREMIER";"Première délibération";"Di Filippo Fabien";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF100";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000100.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 229 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF229";"";"Rejeté";"Avant l'article PREMIER";"Première délibération";"Tanguy Jean-Philippe";"  M. Allisio, M. Grenon, M. Lottiaux, M. Schreck, M. Sabatou, M. Mauvieux, M. Dessigny, M. Cabrolier, M. Bryan Masson et M. Salmon";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF229";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000229.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 204 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF204";"";"Non soutenu";"Avant l'article PREMIER";"Première délibération";"Le Fur Marc";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF204";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000204.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 105 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF105";"";"Non soutenu";"Avant l'article PREMIER";"Première délibération";"Di Filippo Fabien";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF105";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000105.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 31 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF31";"";"Rejeté";"Avant l'article PREMIER";"Première délibération";"Louwagie Véronique";"  M. Viry, M. Marleix, Mme Anthoine, M. Bazin, Mme Bazin-Malgras, Mme Blin, Mme Bonnivard, M. Bony, M. Boucard, M. Bourgeaux, M. Breton, M. Brigand, M. Fabrice Brun, M. Cinieri, M. Ciotti, M. Cordier, Mme Corneloup, Mme D'Intorni, Mme Dalloz, M. Descoeur, M. Dive, M. Dubois, Mme Duby-Muller, M. Pierre-Henri Dumont, M. Forissier, M. Gaultier, Mme Genevard, M. Gosselin, Mme Gruet, M. Habert-Dassault, M. Meyer Habib, M. Herbillon, M. Hetzel, M. Juvin, M. Kamardine, M. Emmanuel Maquet, Mme Alexandra Martin, Mme Frédérique Meunier, M. Minot, M. Neuder, M. Nury, M. Pauget, Mme Petex-Levet, M. Portier, M. Pradié, Mme Périgault, M. Ray, M. Rolland, M. Schellenberger, M. Seitlinger, Mme Serre, Mme Tabarot, M. Taite, M. Thiériot, Mme Valentin, M. Vatin, M. Vermorel-Marques, M. Jean-Pierre Vigier et M. Vincendet";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF31";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000031.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 47 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF47";"";"Rejeté";"Avant l'article PREMIER";"Première délibération";"Hetzel Patrick";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF47";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000047.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 147 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF147";"";"Rejeté";"Avant l'article PREMIER";"Première délibération";"Brun Philippe";"  Mme Pires Beaune, M. Baptiste, M. Bouloux et les membres du groupe Socialistes et apparentés (membre de l&#8217;intergroupe Nupes)";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF147";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000147.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 174 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF174";"";"Adopté";"Avant l'article PREMIER";"Première délibération";"Cordier Pierre";"  M. Cinieri, Mme Corneloup, Mme Valentin, M. Jean-Pierre Vigier, M. Bazin, M. Di Filippo, M. Viry, Mme Gruet et M. Portier";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF174";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000174.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 113 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF113";"";"Rejeté";"Avant l'article PREMIER";"Première délibération";"Di Filippo Fabien";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF113";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000113.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 44 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF44";"";"Adopté";"Avant l'article PREMIER";"Première délibération";"de Courson Charles";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF44";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000044.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 57 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF57";"";"Adopté";"Avant l'article PREMIER";"Première délibération";"Bonnivard Émilie";"  M. Hetzel, M. Neuder, Mme Corneloup, Mme Valentin, M. Minot, M. Jean-Pierre Vigier, Mme Serre, M. Bony, M. Bourgeaux, Mme Bazin-Malgras, Mme Louwagie, M. Viry, Mme Anthoine, M. Cordier et M. Cinieri";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF57";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000057.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 176 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF176";"";"Rejeté";"Avant l'article PREMIER";"Première délibération";"Lebon Karine";"  M. Sansu et M. Tellier";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF176";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000176.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 178 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF178";"";"Rejeté";"Avant l'article PREMIER";"Première délibération";"Lebon Karine";"  M. Sansu et M. Tellier";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF178";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000178.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 168 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF168";"";"Rejeté";"Avant l'article PREMIER";"Première délibération";"Maximi Marianne";"  Mme Abomangoli, M. Alexandre, M. Amard, Mme Amiot, Mme Amrani, M. Arenas, Mme Autain, M. Bernalicis, M. Bex, M. Bilongo, M. Bompard, M. Boumertit, M. Boyard, M. Caron, M. Carrière, M. Chauche, Mme Chikirou, M. Clouet, M. Coquerel, M. Corbière, M. Coulomme, Mme Couturier, M. Davi, M. Delogu, Mme Dufour, Mme Erodi, Mme Etienne, M. Fernandes, Mme Ferrer, Mme Fiat, M. Gaillard, Mme Garrido, Mme Guetté, M. Guiraud, Mme Hignet, Mme Keke, M. Kerbrat, M. Lachaud, M. Laisney, M. Le Gall, Mme Leboucher, Mme Leduc, M. Legavre, Mme Legrain, Mme Lepvraud, M. Léaument, Mme Pascale Martin, Mme Élisa Martin, M. Martinet, M. Mathieu, M. Maudet, Mme Manon Meunier, M. Nilor, Mme Obono, Mme Oziol, Mme Panot, M. Piquemal, M. Portes, M. Prud'homme, M. Quatennens, M. Ratenon, M. Rome, M. Ruffin, M. Saintoul, M. Sala, Mme Simonnet, Mme Soudais, Mme Stambach-Terrenoir, Mme Taurine, Mme Taurinya, M. Tavel, Mme Trouvé, M. Vannier et M. Walter";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF168";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000168.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 258 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF258";"";"Rejeté";"Avant l'article PREMIER";"Première délibération";"Pires Beaune Christine";"  M. Baptiste, M. Bouloux, M. Philippe Brun et les membres du groupe Socialistes et apparentés (membre de l&#8217;intergroupe Nupes)";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF258";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000258.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 2 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF2";"";"Rejeté";"Article PREMIER";"Première délibération";"Taillé-Polian Sophie";"  Mme Sas, Mme Arrighi, M. Ben Cheikh, M. Lucas et M. Peytavie";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF2";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000002.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 154 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF154";"";"Rejeté";"Article PREMIER";"Première délibération";"Amiot Ségolène";"  Mme Abomangoli, M. Alexandre, M. Amard, Mme Amrani, M. Arenas, Mme Autain, M. Bernalicis, M. Bex, M. Bilongo, M. Bompard, M. Boumertit, M. Boyard, M. Caron, M. Carrière, M. Chauche, Mme Chikirou, M. Clouet, M. Coquerel, M. Corbière, M. Coulomme, Mme Couturier, M. Davi, M. Delogu, Mme Dufour, Mme Erodi, Mme Etienne, M. Fernandes, Mme Ferrer, Mme Fiat, M. Gaillard, Mme Garrido, Mme Guetté, M. Guiraud, Mme Hignet, Mme Keke, M. Kerbrat, M. Lachaud, M. Laisney, M. Le Gall, Mme Leboucher, Mme Leduc, M. Legavre, Mme Legrain, Mme Lepvraud, M. Léaument, Mme Pascale Martin, Mme Élisa Martin, M. Martinet, M. Mathieu, M. Maudet, Mme Maximi, Mme Manon Meunier, M. Nilor, Mme Obono, Mme Oziol, Mme Panot, M. Piquemal, M. Portes, M. Prud'homme, M. Quatennens, M. Ratenon, M. Rome, M. Ruffin, M. Saintoul, M. Sala, Mme Simonnet, Mme Soudais, Mme Stambach-Terrenoir, Mme Taurine, Mme Taurinya, M. Tavel, Mme Trouvé, M. Vannier et M. Walter";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF154";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000154.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 43 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF43";"";"Rejeté";"Article PREMIER";"Première délibération";"de Courson Charles";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF43";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000043.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 188 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF188";"";"Rejeté";"Article PREMIER";"Première délibération";"Lebon Karine";"  M. Sansu et M. Tellier";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF188";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000188.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 72 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF72";"";"Rejeté";"Article PREMIER";"Première délibération";"Echaniz Inaki";"  M. Vallaud, Mme Rouaux, Mme Keloua Hachi, Mme Pires Beaune, M. Philippe Brun, M. Bouloux, M. Baptiste et les membres du groupe Socialistes et apparentés (membre de l&#8217;intergroupe Nupes)";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF72";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000072.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 155 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF155";"";"Rejeté";"Article PREMIER";"Première délibération";"Legrain Sarah";"  Mme Abomangoli, M. Alexandre, M. Amard, Mme Amiot, Mme Amrani, M. Arenas, Mme Autain, M. Bernalicis, M. Bex, M. Bilongo, M. Bompard, M. Boumertit, M. Boyard, M. Caron, M. Carrière, M. Chauche, Mme Chikirou, M. Clouet, M. Coquerel, M. Corbière, M. Coulomme, Mme Couturier, M. Davi, M. Delogu, Mme Dufour, Mme Erodi, Mme Etienne, M. Fernandes, Mme Ferrer, Mme Fiat, M. Gaillard, Mme Garrido, Mme Guetté, M. Guiraud, Mme Hignet, Mme Keke, M. Kerbrat, M. Lachaud, M. Laisney, M. Le Gall, Mme Leboucher, Mme Leduc, M. Legavre, Mme Lepvraud, M. Léaument, Mme Pascale Martin, Mme Élisa Martin, M. Martinet, M. Mathieu, M. Maudet, Mme Maximi, Mme Manon Meunier, M. Nilor, Mme Obono, Mme Oziol, Mme Panot, M. Piquemal, M. Portes, M. Prud'homme, M. Quatennens, M. Ratenon, M. Rome, M. Ruffin, M. Saintoul, M. Sala, Mme Simonnet, Mme Soudais, Mme Stambach-Terrenoir, Mme Taurine, Mme Taurinya, M. Tavel, Mme Trouvé, M. Vannier et M. Walter";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF155";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000155.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 59 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF59";"";"Rejeté";"Article PREMIER";"Première délibération";"Anthoine Emmanuelle";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF59";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000059.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 270 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF270";"";"Adopté";"Article PREMIER";"Première délibération";"Cazeneuve Jean-René rapporteur";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF270";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000270.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 61 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF61";"";"Adopté";"Article PREMIER";"Première délibération";"Anthoine Emmanuelle";;"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF61";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000061.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 177 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF177";"";"Rejeté";"Après l'article PREMIER";"Première délibération";"Lebon Karine";"  M. Sansu et M. Tellier";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF177";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000177.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 180 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF180";"";"Rejeté";"Après l'article PREMIER";"Première délibération";"Lebon Karine";"  M. Sansu et M. Tellier";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF180";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000180.xml"
"LOI DE FINANCES RECTIFICATIVE POUR 2022";"Amendement n° 51 - LOI DE FINANCES RECTIFICATIVE POUR 2022 - 1ère lecture (1ère assemblée saisie) - n° 17";"CF51";"";"Rejeté";"Après l'article PREMIER";"Première délibération";"Taillé-Polian Sophie";"  Mme Sas, Mme Arrighi, M. Ben Cheikh, M. Lucas et M. Peytavie";"Finances";"1ère lecture (1ère assemblée saisie)";"https://www.assemblee-nationale.fr/dyn/16/dossiers/loi_finances_rectificative_2022";"https://www.assemblee-nationale.fr/16/textes/0017.asp#D_Article_1er";"https://www.assemblee-nationale.fr/dyn/16/amendements/0017/CION_FIN/CF51";"https://www.assemblee-nationale.fr/dyn/opendata/AMANR5L16PO59048B0017P0D1N000051.xml"
